04/2010, 340657626
05/2010, 339854508 
06/2010, 339684617 
07/2010, 344632065 
08/2010, 346801005 
09/2010, 343363448 
10/2010, 346025159 
11/2010, 345965174 
12/2010, 343432830 
01/2011, 343386108 
02/2011, 343866760 
03/2011, 344289424 
04/2011, 341018310 
05/2011, 341772233 
06/2011, 341454063 
07/2011, 339182620 
08/2011, 339747917 
09/2011, 337359643 
10/2011, 336824219 
11/2011, 338002312 
12/2011, 339795541 
01/2012, 340701457 
02/2012, 337837370 
03/2012, 338521511 
04/2012, 336726476 
05/2012, 332453836 
06/2012, 330826040 
07/2012, 329497356 
08/2012, 325587823 
09/2012, 325529079 
10/2012, 323629159 
11/2012, 316384724 
12/2012, 313881958 
01/2013, 309049108 
02/2013, 310891646 
03/2013, 308793611 
04/2013, 307082849 
05/2013, 306780308 
06/2013, 307045916 
07/2013, 306342672 
08/2013, 308244299 
09/2013, 289252478 
10/2013, 303844753 
11/2013, 305778451 
12/2013, 309003956 
01/2014, 310086639 
02/2014, 310027927 
03/2014, 310553099 
04/2014, 310227903 
05/2014, 311676574 
06/2014, 306953751 
07/2014, 301100801 
08/2014, 303093097 
09/2014, 318282641 
10/2014, 300863951 
11/2014, 300052322 
12/2014, 290923210
